test_idx	train_idx	dist	contribution	query_id	train_protein_id
0	109	0.23602120201642607	30.636628088302682	w1|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w1	RNCMPT00170
0	337	0.23832829315860726	29.80979710857636	w1|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w1	RNCMPT01669
0	287	0.23842808550664685	29.77436193783538	w1|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w1	RNCMPT00720
0	18	0.3184077566784784	9.779212865285569	w1|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w1	RNCMPT00021
1	145	0.13937861439285293	14.960422818236927	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00230
1	260	0.1496201667214836	13.893392006792501	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00615
1	45	0.1497094028877668	13.884117435881263	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00060
1	161	0.15527295266849628	13.30747547862838	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00254
1	35	0.16827349896649557	11.9791654435904	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00045
1	103	0.177944987748466	11.017200380911914	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00164
1	138	0.2306435405556898	6.431174102359859	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00220
1	24	0.2519509169632228	4.973314778244871	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00027
1	200	0.26564501777886806	4.165708221673134	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00347
1	135	0.28441084925410265	3.218224821335172	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00217
1	30	0.3512681968909007	1.1121938825875166	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00037
1	241	0.37066936111903726	0.7836238219993472	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00469
1	187	0.4235914781847707	0.2739868077587275	w2|source=/public/home/wz/workplace/cursor/modle/jple/rice_rbps.fasta|original=w2	RNCMPT00323
